word,both
lemon,1.8539379774877471
sun,1.978383998791581
bone,3.143724473259348
rose,3.148261974529637
chalk,3.3635025269662133
romance,4.064850001452431
pain,4.1330732474983956
fork,4.297265858651776
belt,4.304239788343813
energy,4.482286914150917
rock,4.527557434496965
sadness,4.593122217037782
heaven,4.679069744066684
success,4.70372505652496
computer,4.729480175899913
staple,4.734961291384544
tarantula,4.742947863706407
robin,4.859587589715934
desire,4.919746055506533
ache,4.922191325867677
corpse,4.92955726011938
toe,4.9310232417445565
barley,4.992735124780848
excitement,5.026358299062973
shampoo,5.173701598056995
temptation,5.226966304009252
gloom,5.2582371360743485
divinity,5.267983627234351
optimism,5.28889307309591
boat,5.295497436279476
heroism,5.307211635577486
urge,5.354197121657831
faith,5.359330425904391
relief,5.36371447282898
fish,5.38424811838406
playfulness,5.395288430184403
loyal,5.437635155245519
appearance,5.4786582345453585
pheasant,5.6531797136474875
mansion,5.752534686500071
