word,groundTruth,condition
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,1.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,3.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,2.0,concrete
lemon,2.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,1.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,1.0,concrete
lemon,1.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,1.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,1.0,concrete
lemon,47.0,concrete
lemon,3.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,42.0,concrete
lemon,3.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
lemon,47.0,concrete
lemon,42.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,7.0,concrete
sun,18.0,concrete
sun,7.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,18.0,concrete
sun,3.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,18.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,7.0,concrete
sun,18.0,concrete
sun,63.0,concrete
sun,18.0,concrete
sun,3.0,concrete
sun,18.0,concrete
sun,63.0,concrete
sun,3.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,3.0,concrete
sun,63.0,concrete
sun,7.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,7.0,concrete
sun,1.0,concrete
sun,18.0,concrete
sun,18.0,concrete
sun,3.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,1.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,18.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,1.0,concrete
sun,1.0,concrete
sun,18.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
sun,63.0,concrete
